-1	-1	0.36
-1	-2	0.36
-1	-3	0.36
-1	-4	0.36
-1	-5	0.36
-2	-1	0.36
-2	-2	0.34
-2	-3	0.34
-2	-4	0.34
-2	-5	0.34
-3	-1	0.36
-3	-2	0.32
-3	-3	0.32
-3	-4	0.32
-3	-5	0.32
-4	-1	0.3
-4	-2	0.3
-4	-3	0.3
-4	-4	0.26
-4	-5	0.26
-5	-1	0.3
-5	-2	0.26
-5	-3	0.28
-5	-4	0.26
-5	-5	0.26
-6	-1	0.28
-6	-2	0.28
-6	-3	0.24
-6	-4	0.2
-6	-5	0.2
-7	-1	0.28
-7	-2	0.28
-7	-3	0.22
-7	-4	0.2
-7	-5	0.24
-8	-1	0.28
-8	-2	0.24
-8	-3	0.2
-8	-4	0.3
-8	-5	0.34
-9	-1	0.3
-9	-2	0.2
-9	-3	0.32
-9	-4	0.36
-9	-5	0.4
-10	-1	0.22
-10	-2	0.28
-10	-3	0.4
-10	-4	0.42
-10	-5	0.42
-11	-1	0.22
-11	-2	0.38
-11	-3	0.42
-11	-4	0.42
-11	-5	0.46
-12	-1	0.28
-12	-2	0.4
-12	-3	0.46
-12	-4	0.5
-12	-5	0.5
-13	-1	0.34
-13	-2	0.36
-13	-3	0.52
-13	-4	0.52
-13	-5	0.52
-14	-1	0.32
-14	-2	0.46
-14	-3	0.5
-14	-4	0.5
-14	-5	0.48
-15	-1	0.32
-15	-2	0.5
-15	-3	0.48
-15	-4	0.5
-15	-5	0.5
-16	-1	0.38
-16	-2	0.48
-16	-3	0.54
-16	-4	0.54
-16	-5	0.54
-17	-1	0.44
-17	-2	0.54
-17	-3	0.54
-17	-4	0.54
-17	-5	0.54
-18	-1	0.48
-18	-2	0.52
-18	-3	0.52
-18	-4	0.52
-18	-5	0.52
-19	-1	0.5
-19	-2	0.52
-19	-3	0.52
-19	-4	0.52
-19	-5	0.52
-20	-1	0.48
-20	-2	0.52
-20	-3	0.52
-20	-4	0.52
-20	-5	0.56
